"1";"6";"151";"39";"1: 0.71 sec elapsed"
"2";"6";"151";"39";"2: 1.05 sec elapsed"
"3";"6";"151";"39";"3: 1.35 sec elapsed"
"4";"6";"151";"39";"4: 1.65 sec elapsed"
"5";"7";"160";"34";"5: 1.94 sec elapsed"
"6";"7";"160";"34";"6: 2.25 sec elapsed"
"7";"7";"160";"34";"7: 2.57 sec elapsed"
"8";"7";"160";"34";"8: 2.88 sec elapsed"
"9";"7";"160";"34";"9: 3.18 sec elapsed"
"10";"7";"160";"34";"10: 3.49 sec elapsed"
"20";"7";"160";"34";"20: 6.63 sec elapsed"
"30";"7";"160";"34";"30: 9.77 sec elapsed"
"40";"7";"160";"34";"40: 12.94 sec elapsed"
"50";"7";"160";"34";"50: 16.13 sec elapsed"
"60";"7";"160";"34";"60: 19.36 sec elapsed"
"70";"7";"160";"34";"70: 22.62 sec elapsed"
"80";"7";"160";"34";"80: 25.72 sec elapsed"
"90";"7";"160";"34";"90: 28.92 sec elapsed"
"100";"7";"160";"34";"100: 32.28 sec elapsed"
