"1";"6";"131";"36";"1: 0.62 sec elapsed"
"2";"6";"131";"36";"2: 0.93 sec elapsed"
"3";"6";"131";"36";"3: 1.25 sec elapsed"
"4";"6";"131";"36";"4: 1.54 sec elapsed"
"5";"6";"131";"36";"5: 1.87 sec elapsed"
"6";"6";"131";"36";"6: 2.18 sec elapsed"
"7";"6";"131";"36";"7: 2.5 sec elapsed"
"8";"6";"131";"36";"8: 2.81 sec elapsed"
"9";"6";"131";"36";"9: 3.12 sec elapsed"
"10";"6";"131";"36";"10: 3.43 sec elapsed"
"20";"6";"131";"36";"20: 6.59 sec elapsed"
"30";"6";"131";"36";"30: 9.76 sec elapsed"
"40";"6";"131";"36";"40: 12.96 sec elapsed"
"50";"6";"131";"36";"50: 16.12 sec elapsed"
"60";"6";"131";"36";"60: 19.46 sec elapsed"
"70";"6";"131";"36";"70: 22.62 sec elapsed"
"80";"6";"131";"36";"80: 25.86 sec elapsed"
"90";"6";"131";"36";"90: 29.14 sec elapsed"
"100";"6";"131";"36";"100: 32.15 sec elapsed"
