"1";"6";"143";"42";"1: 0.78 sec elapsed"
"2";"6";"143";"42";"2: 1.11 sec elapsed"
"3";"6";"143";"42";"3: 1.47 sec elapsed"
"4";"6";"136";"33";"4: 1.81 sec elapsed"
"5";"6";"136";"33";"5: 2.19 sec elapsed"
"6";"6";"136";"33";"6: 2.56 sec elapsed"
"7";"6";"136";"33";"7: 3.01 sec elapsed"
"8";"6";"136";"33";"8: 3.47 sec elapsed"
"9";"6";"136";"33";"9: 3.9 sec elapsed"
"10";"6";"136";"33";"10: 4.34 sec elapsed"
"20";"6";"136";"33";"20: 8.39 sec elapsed"
"30";"6";"136";"33";"30: 12.44 sec elapsed"
"40";"6";"136";"33";"40: 16.53 sec elapsed"
"50";"6";"136";"33";"50: 20.53 sec elapsed"
"60";"6";"136";"33";"60: 24.62 sec elapsed"
"70";"6";"136";"33";"70: 28.73 sec elapsed"
"80";"6";"136";"33";"80: 32.86 sec elapsed"
"90";"6";"136";"33";"90: 37.11 sec elapsed"
"100";"6";"136";"33";"100: 40.76 sec elapsed"
