"1";"10";"168";"47";"1: 0.75 sec elapsed"
"2";"9";"152";"38";"2: 1.22 sec elapsed"
"3";"9";"152";"38";"3: 1.8 sec elapsed"
"4";"8";"144";"36";"4: 2.22 sec elapsed"
"5";"8";"144";"36";"5: 2.61 sec elapsed"
"6";"8";"144";"36";"6: 2.97 sec elapsed"
"7";"8";"144";"36";"7: 3.41 sec elapsed"
"8";"8";"144";"36";"8: 3.8 sec elapsed"
"9";"8";"144";"36";"9: 4.22 sec elapsed"
"10";"8";"144";"36";"10: 4.59 sec elapsed"
"20";"8";"144";"36";"20: 8.8 sec elapsed"
"30";"8";"144";"36";"30: 12.66 sec elapsed"
"40";"8";"144";"36";"40: 16.61 sec elapsed"
"50";"8";"144";"36";"50: 20.53 sec elapsed"
"60";"8";"144";"36";"60: 24.58 sec elapsed"
"70";"8";"144";"36";"70: 28.53 sec elapsed"
"80";"8";"144";"36";"80: 32.45 sec elapsed"
"90";"8";"144";"36";"90: 36.5 sec elapsed"
"100";"8";"144";"36";"100: 40.8 sec elapsed"
