"1";"10";"169";"43";"1: 0.63 sec elapsed"
"2";"9";"186";"38";"2: 0.96 sec elapsed"
"3";"9";"186";"38";"3: 1.36 sec elapsed"
"4";"8";"202";"37";"4: 1.66 sec elapsed"
"5";"8";"202";"37";"5: 1.97 sec elapsed"
"6";"8";"202";"37";"6: 2.25 sec elapsed"
"7";"8";"202";"37";"7: 2.55 sec elapsed"
"8";"8";"202";"37";"8: 2.85 sec elapsed"
"9";"8";"202";"37";"9: 3.13 sec elapsed"
"10";"8";"202";"37";"10: 3.44 sec elapsed"
"20";"8";"202";"37";"20: 6.63 sec elapsed"
"30";"8";"202";"37";"30: 9.99 sec elapsed"
"40";"8";"202";"37";"40: 13.32 sec elapsed"
"50";"8";"202";"37";"50: 16.46 sec elapsed"
"60";"8";"202";"37";"60: 19.71 sec elapsed"
"70";"8";"202";"37";"70: 22.78 sec elapsed"
"80";"8";"202";"37";"80: 25.89 sec elapsed"
"90";"8";"202";"37";"90: 29.02 sec elapsed"
"100";"8";"202";"37";"100: 32.19 sec elapsed"
